task,modality,model_id,representation,metric,score,ci_low,ci_high,n_test,validation_reference,numerical_test_best,significant_global,p_holm_global
BBBP,molecule,ecfp4,ECFP4,ROC-AUC,0.9141,0.8567,0.9525,205,False,False,False,1.0
BBBP,molecule,rdkit2d,RDKit2D,ROC-AUC,0.9227,0.8756,0.9548,205,False,False,False,1.0
BBBP,molecule,chemberta_77m,ChemBERTa-77M,ROC-AUC,0.9538,0.9173,0.9807,205,True,False,False,
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,ROC-AUC,0.9713,0.9504,0.987,205,False,True,False,1.0
BBBP,molecule,molformer_xl,MoLFormer-XL,ROC-AUC,0.9541,0.9213,0.9774,205,False,False,False,1.0
BBBP,molecule,unimol_v1,Uni-Mol v1,ROC-AUC,0.909,0.8609,0.9457,205,False,False,False,0.407796
BBBP,molecule,molclr_gin,MolCLR GIN,ROC-AUC,0.8839,0.8141,0.9285,205,False,False,True,0.0295
BBBP,molecule,grover_base,GROVER Base,ROC-AUC,0.9182,0.8665,0.9561,205,False,False,False,1.0
BBBP,molecule,grover_large,GROVER Large,ROC-AUC,0.934,0.8916,0.9664,205,False,False,False,1.0
ClinTox,molecule,ecfp4,ECFP4,Macro ROC-AUC,0.8482,0.6797,0.9739,148,False,False,True,0.0295
ClinTox,molecule,rdkit2d,RDKit2D,Macro ROC-AUC,0.8529,0.7206,0.9627,148,False,False,True,0.0295
ClinTox,molecule,chemberta_77m,ChemBERTa-77M,Macro ROC-AUC,0.9751,0.918,1.0,148,False,False,False,1.0
ClinTox,molecule,chemberta_zinc,ChemBERTa-ZINC,Macro ROC-AUC,0.9851,0.9373,1.0,148,True,True,False,
ClinTox,molecule,molformer_xl,MoLFormer-XL,Macro ROC-AUC,0.9718,0.8974,1.0,148,False,False,False,1.0
ClinTox,molecule,unimol_v1,Uni-Mol v1,Macro ROC-AUC,0.6755,0.467,0.8554,148,False,False,True,0.0295
ClinTox,molecule,molclr_gin,MolCLR GIN,N/A,,,,148,False,False,False,
ClinTox,molecule,grover_base,GROVER Base,Macro ROC-AUC,0.8879,0.7994,0.9578,148,False,False,True,0.0295
ClinTox,molecule,grover_large,GROVER Large,Macro ROC-AUC,0.8889,0.7897,0.971,148,False,False,False,0.15743
BACE,molecule,ecfp4,ECFP4,ROC-AUC,0.8904,0.813,0.9467,152,False,True,False,1.0
BACE,molecule,rdkit2d,RDKit2D,ROC-AUC,0.8315,0.7233,0.9182,152,False,False,False,1.0
BACE,molecule,chemberta_77m,ChemBERTa-77M,ROC-AUC,0.8391,0.7473,0.9111,152,False,False,False,1.0
BACE,molecule,chemberta_zinc,ChemBERTa-ZINC,ROC-AUC,0.8265,0.7369,0.9178,152,True,False,False,
BACE,molecule,molformer_xl,MoLFormer-XL,ROC-AUC,0.8102,0.7174,0.8861,152,False,False,False,1.0
BACE,molecule,unimol_v1,Uni-Mol v1,ROC-AUC,0.8156,0.7239,0.8907,152,False,False,False,1.0
BACE,molecule,molclr_gin,MolCLR GIN,ROC-AUC,0.8203,0.7287,0.8953,152,False,False,False,1.0
BACE,molecule,grover_base,GROVER Base,ROC-AUC,0.885,0.8019,0.95,152,False,False,False,1.0
BACE,molecule,grover_large,GROVER Large,ROC-AUC,0.8817,0.7943,0.9493,152,False,False,False,1.0
ESOL,molecule,ecfp4,ECFP4,Spearman rho,0.6161,0.4489,0.7321,114,False,False,True,0.0295
ESOL,molecule,rdkit2d,RDKit2D,Spearman rho,0.9049,0.8343,0.9399,114,False,False,False,1.0
ESOL,molecule,chemberta_77m,ChemBERTa-77M,Spearman rho,0.8469,0.7242,0.9181,114,False,False,False,1.0
ESOL,molecule,chemberta_zinc,ChemBERTa-ZINC,Spearman rho,0.8428,0.7244,0.9097,114,False,False,False,0.428802
ESOL,molecule,molformer_xl,MoLFormer-XL,Spearman rho,0.8928,0.7908,0.9459,114,False,False,False,1.0
ESOL,molecule,unimol_v1,Uni-Mol v1,Spearman rho,0.8906,0.812,0.9283,114,False,False,False,1.0
