task,modality,model_id,representation,metric,score,ci_low,ci_high,n_test,validation_reference,numerical_test_best,inference_status,significant_global,p_holm_global
DeepLoc,protein,kmer3_protein,3-mer frequency,Macro ROC-AUC,0.7169,0.7039,0.7299,5963,False,False,primary,True,0.027
DeepLoc,protein,esm2_8m,ESM-2 8M,Macro ROC-AUC,0.8464,0.834,0.8585,5963,False,False,primary,True,0.027
DeepLoc,protein,esm2_35m,ESM-2 35M,Macro ROC-AUC,0.8666,0.8557,0.8765,5963,False,False,primary,True,0.027
DeepLoc,protein,esm2_150m,ESM-2 150M,Macro ROC-AUC,0.8799,0.87,0.8897,5963,False,False,primary,True,0.027
DeepLoc,protein,esm2_650m,ESM-2 650M,Macro ROC-AUC,0.8924,0.8832,0.9005,5963,True,True,primary,False,
DeepLoc,protein,protbert,ProtBERT,Macro ROC-AUC,0.8614,0.8503,0.8718,5963,False,False,primary,True,0.027
Fluorescence,protein,kmer3_protein,3-mer frequency,Spearman rho,0.6739,0.6659,0.6826,27217,True,True,descriptive_only,False,
Fluorescence,protein,esm2_8m,ESM-2 8M,Spearman rho,0.5733,0.5643,0.5822,27217,False,False,descriptive_only,False,
Fluorescence,protein,esm2_35m,ESM-2 35M,Spearman rho,0.5936,0.5855,0.6025,27217,False,False,descriptive_only,False,
Fluorescence,protein,esm2_150m,ESM-2 150M,Spearman rho,0.5843,0.5757,0.5936,27217,False,False,descriptive_only,False,
Fluorescence,protein,esm2_650m,ESM-2 650M,Spearman rho,0.6133,0.6047,0.6212,27217,False,False,descriptive_only,False,
Fluorescence,protein,protbert,ProtBERT,Spearman rho,0.6622,0.6545,0.6706,27217,False,False,descriptive_only,False,
Promoters,genomics,kmer5_dna,5-mer frequency,ROC-AUC,0.9304,0.9178,0.9419,1571,False,False,primary,False,1.0
Promoters,genomics,nucleotide_transformer,Nucleotide Transformer 500M,ROC-AUC,0.9363,0.925,0.9469,1571,True,False,primary,False,
Promoters,genomics,hyenadna,HyenaDNA-tiny,ROC-AUC,0.9382,0.9266,0.9488,1571,False,True,primary,False,1.0
