task,seed,rank,model_id,representation,score
BBBP,7,1,chemberta_77m,ChemBERTa-77M,0.9614
BBBP,7,2,molformer_xl,MoLFormer-XL,0.9547
BBBP,7,3,chemberta_zinc,ChemBERTa-ZINC,0.9529
BBBP,7,4,grover_large,GROVER Large,0.9254
BBBP,7,5,grover_base,GROVER Base,0.911
BBBP,7,6,rdkit2d,RDKit2D,0.909
BBBP,7,7,ecfp4,ECFP4,0.894
BBBP,7,8,unimol_v1,Uni-Mol v1,0.8837
BBBP,7,9,molclr_gin,MolCLR GIN,0.8179
BBBP,11,1,chemberta_zinc,ChemBERTa-ZINC,0.9513
BBBP,11,2,chemberta_77m,ChemBERTa-77M,0.9437
BBBP,11,3,molformer_xl,MoLFormer-XL,0.9418
BBBP,11,4,grover_base,GROVER Base,0.938
BBBP,11,5,grover_large,GROVER Large,0.9364
BBBP,11,6,rdkit2d,RDKit2D,0.9339
BBBP,11,7,ecfp4,ECFP4,0.8978
BBBP,11,8,unimol_v1,Uni-Mol v1,0.8906
BBBP,11,9,molclr_gin,MolCLR GIN,0.8376
BBBP,19,1,chemberta_77m,ChemBERTa-77M,0.9655
BBBP,19,2,chemberta_zinc,ChemBERTa-ZINC,0.9509
BBBP,19,3,molformer_xl,MoLFormer-XL,0.9501
BBBP,19,4,ecfp4,ECFP4,0.8867
BBBP,19,5,grover_large,GROVER Large,0.8727
BBBP,19,6,grover_base,GROVER Base,0.8634
BBBP,19,7,rdkit2d,RDKit2D,0.8428
BBBP,19,8,unimol_v1,Uni-Mol v1,0.8292
BBBP,19,9,molclr_gin,MolCLR GIN,0.813
BBBP,21,1,molformer_xl,MoLFormer-XL,0.9302
BBBP,21,2,chemberta_77m,ChemBERTa-77M,0.9259
BBBP,21,3,ecfp4,ECFP4,0.9025
BBBP,21,4,chemberta_zinc,ChemBERTa-ZINC,0.9021
BBBP,21,5,rdkit2d,RDKit2D,0.8783
BBBP,21,6,grover_large,GROVER Large,0.874
BBBP,21,7,unimol_v1,Uni-Mol v1,0.8601
BBBP,21,8,grover_base,GROVER Base,0.8304
BBBP,21,9,molclr_gin,MolCLR GIN,0.8214
BBBP,29,1,molformer_xl,MoLFormer-XL,0.9431
BBBP,29,2,chemberta_77m,ChemBERTa-77M,0.9389
BBBP,29,3,chemberta_zinc,ChemBERTa-ZINC,0.8834
BBBP,29,4,rdkit2d,RDKit2D,0.8712
BBBP,29,5,grover_large,GROVER Large,0.8514
BBBP,29,6,grover_base,GROVER Base,0.843
BBBP,29,7,ecfp4,ECFP4,0.8413
BBBP,29,8,unimol_v1,Uni-Mol v1,0.8309
BBBP,29,9,molclr_gin,MolCLR GIN,0.7577
BBBP,31,1,chemberta_77m,ChemBERTa-77M,0.9688
BBBP,31,2,molformer_xl,MoLFormer-XL,0.9665
BBBP,31,3,chemberta_zinc,ChemBERTa-ZINC,0.9609
BBBP,31,4,ecfp4,ECFP4,0.9579
BBBP,31,5,rdkit2d,RDKit2D,0.9558
BBBP,31,6,grover_large,GROVER Large,0.9525
BBBP,31,7,grover_base,GROVER Base,0.9482
BBBP,31,8,unimol_v1,Uni-Mol v1,0.9297
BBBP,31,9,molclr_gin,MolCLR GIN,0.8919
BBBP,37,1,chemberta_77m,ChemBERTa-77M,0.9326
BBBP,37,2,molformer_xl,MoLFormer-XL,0.9295
BBBP,37,3,chemberta_zinc,ChemBERTa-ZINC,0.9264
BBBP,37,4,rdkit2d,RDKit2D,0.8492
BBBP,37,5,ecfp4,ECFP4,0.846
BBBP,37,6,grover_large,GROVER Large,0.8379
BBBP,37,7,unimol_v1,Uni-Mol v1,0.8376
BBBP,37,8,grover_base,GROVER Base,0.8162
BBBP,37,9,molclr_gin,MolCLR GIN,0.8078
BBBP,42,1,chemberta_zinc,ChemBERTa-ZINC,0.9713
BBBP,42,2,molformer_xl,MoLFormer-XL,0.9541
BBBP,42,3,chemberta_77m,ChemBERTa-77M,0.9538
BBBP,42,4,grover_large,GROVER Large,0.934
BBBP,42,5,rdkit2d,RDKit2D,0.9227
BBBP,42,6,grover_base,GROVER Base,0.9182
BBBP,42,7,ecfp4,ECFP4,0.9141
BBBP,42,8,unimol_v1,Uni-Mol v1,0.909
BBBP,42,9,molclr_gin,MolCLR GIN,0.8839
BBBP,53,1,chemberta_77m,ChemBERTa-77M,0.9526
BBBP,53,2,chemberta_zinc,ChemBERTa-ZINC,0.9388
BBBP,53,3,molformer_xl,MoLFormer-XL,0.9327
BBBP,53,4,ecfp4,ECFP4,0.9078
BBBP,53,5,rdkit2d,RDKit2D,0.8949
BBBP,53,6,grover_large,GROVER Large,0.8936
BBBP,53,7,grover_base,GROVER Base,0.8848
BBBP,53,8,unimol_v1,Uni-Mol v1,0.8812
BBBP,53,9,molclr_gin,MolCLR GIN,0.8282
BBBP,61,1,chemberta_77m,ChemBERTa-77M,0.965
BBBP,61,2,chemberta_zinc,ChemBERTa-ZINC,0.9523
BBBP,61,3,molformer_xl,MoLFormer-XL,0.9523
BBBP,61,4,ecfp4,ECFP4,0.8762
BBBP,61,5,grover_base,GROVER Base,0.8757
BBBP,61,6,grover_large,GROVER Large,0.862
BBBP,61,7,rdkit2d,RDKit2D,0.8467
BBBP,61,8,unimol_v1,Uni-Mol v1,0.8298
BBBP,61,9,molclr_gin,MolCLR GIN,0.8137
BBBP,67,1,chemberta_77m,ChemBERTa-77M,0.9462
BBBP,67,2,molformer_xl,MoLFormer-XL,0.9374
BBBP,67,3,rdkit2d,RDKit2D,0.9372
BBBP,67,4,chemberta_zinc,ChemBERTa-ZINC,0.932
BBBP,67,5,grover_large,GROVER Large,0.9215
BBBP,67,6,grover_base,GROVER Base,0.9108
BBBP,67,7,unimol_v1,Uni-Mol v1,0.909
BBBP,67,8,ecfp4,ECFP4,0.8928
BBBP,67,9,molclr_gin,MolCLR GIN,0.8406
BBBP,73,1,chemberta_77m,ChemBERTa-77M,0.9668
BBBP,73,2,molformer_xl,MoLFormer-XL,0.9615
BBBP,73,3,chemberta_zinc,ChemBERTa-ZINC,0.9578
BBBP,73,4,grover_large,GROVER Large,0.9229
BBBP,73,5,rdkit2d,RDKit2D,0.917
BBBP,73,6,grover_base,GROVER Base,0.915
BBBP,73,7,unimol_v1,Uni-Mol v1,0.905
BBBP,73,8,ecfp4,ECFP4,0.9024
BBBP,73,9,molclr_gin,MolCLR GIN,0.8516
BBBP,79,1,chemberta_77m,ChemBERTa-77M,0.9424
BBBP,79,2,molformer_xl,MoLFormer-XL,0.9407
BBBP,79,3,ecfp4,ECFP4,0.9367
BBBP,79,4,rdkit2d,RDKit2D,0.9175
BBBP,79,5,chemberta_zinc,ChemBERTa-ZINC,0.9085
BBBP,79,6,grover_large,GROVER Large,0.8894
BBBP,79,7,grover_base,GROVER Base,0.8697
BBBP,79,8,molclr_gin,MolCLR GIN,0.856
BBBP,79,9,unimol_v1,Uni-Mol v1,0.8515
BBBP,89,1,chemberta_zinc,ChemBERTa-ZINC,0.928
BBBP,89,2,ecfp4,ECFP4,0.9222
BBBP,89,3,molformer_xl,MoLFormer-XL,0.9193
BBBP,89,4,chemberta_77m,ChemBERTa-77M,0.9135
BBBP,89,5,unimol_v1,Uni-Mol v1,0.8917
BBBP,89,6,rdkit2d,RDKit2D,0.8497
BBBP,89,7,grover_large,GROVER Large,0.8024
BBBP,89,8,grover_base,GROVER Base,0.7927
BBBP,89,9,molclr_gin,MolCLR GIN,0.7579
BBBP,97,1,molformer_xl,MoLFormer-XL,0.9653
BBBP,97,2,chemberta_77m,ChemBERTa-77M,0.9627
BBBP,97,3,chemberta_zinc,ChemBERTa-ZINC,0.9403
BBBP,97,4,rdkit2d,RDKit2D,0.9077
BBBP,97,5,ecfp4,ECFP4,0.8948
BBBP,97,6,unimol_v1,Uni-Mol v1,0.8948
BBBP,97,7,grover_large,GROVER Large,0.8841
BBBP,97,8,grover_base,GROVER Base,0.8762
BBBP,97,9,molclr_gin,MolCLR GIN,0.8675
BBBP,101,1,chemberta_77m,ChemBERTa-77M,0.9576
