task,modality,requested_n,median_effective_n,median_central_95_width,n_comparisons
BBBP,molecule,50,50.0,0.14545,8
BBBP,molecule,51,51.0,0.1414,8
BBBP,molecule,100,100.0,0.07400000000000001,8
BBBP,molecule,102,102.0,0.07325000000000001,8
BBBP,molecule,150,150.0,0.04195,8
BBBP,molecule,153,153.0,0.0372,8
ClinTox,molecule,37,37.0,0.2741,7
ClinTox,molecule,50,50.0,0.2061,7
ClinTox,molecule,74,74.0,0.1561,7
ClinTox,molecule,100,100.0,0.1081,7
ClinTox,molecule,111,111.0,0.0838,7
BACE,molecule,38,39.0,0.2369,8
BACE,molecule,50,51.0,0.1889,8
BACE,molecule,76,77.0,0.1315,8
BACE,molecule,100,101.0,0.09,8
BACE,molecule,114,115.0,0.07245,8
BACE,molecule,150,150.0,0.01175,8
ESOL,molecule,28,28.0,0.27054999999999996,8
ESOL,molecule,50,50.5,0.15025,8
ESOL,molecule,57,58.0,0.13205,8
ESOL,molecule,85,85.5,0.07935,8
ESOL,molecule,100,101.0,0.050600000000000006,8
Lipophilicity,molecule,50,50.0,0.4813,8
Lipophilicity,molecule,100,100.0,0.31245,8
Lipophilicity,molecule,105,105.0,0.30305000000000004,8
Lipophilicity,molecule,150,150.0,0.2304,8
Lipophilicity,molecule,210,210.0,0.1563,8
Lipophilicity,molecule,250,250.0,0.13335,8
Lipophilicity,molecule,315,315.0,0.09770000000000001,8
CYP3A4,molecule,34,34.0,0.24105,8
CYP3A4,molecule,50,50.0,0.1366,8
CYP3A4,molecule,51,51.0,0.13265,8
DeepLoc,protein,50,50.0,0.1235,5
DeepLoc,protein,100,100.0,0.0948,5
DeepLoc,protein,150,150.0,0.079,5
DeepLoc,protein,250,250.0,0.0694,5
DeepLoc,protein,500,500.0,0.0382,5
DeepLoc,protein,1000,1000.0,0.0273,5
DeepLoc,protein,1490,1490.0,0.0212,5
DeepLoc,protein,2000,2000.0,0.0169,5
DeepLoc,protein,2981,2981.0,0.0109,5
DeepLoc,protein,4472,4472.0,0.0071,5
DeepLoc,protein,5000,5000.0,0.005,5
Fluorescence,protein,50,50.0,0.2667,5
Fluorescence,protein,100,100.0,0.1855,5
Fluorescence,protein,150,150.0,0.1497,5
Fluorescence,protein,250,250.0,0.1171,5
Fluorescence,protein,500,500.0,0.085,5
Fluorescence,protein,1000,1000.0,0.0576,5
Fluorescence,protein,2000,2000.0,0.039,5
Fluorescence,protein,5000,5000.0,0.0229,5
Fluorescence,protein,6804,6804.0,0.0181,5
Fluorescence,protein,10000,10000.0,0.0144,5
Fluorescence,protein,13608,13608.0,0.0109,5
Fluorescence,protein,20000,20000.0,0.0069,5
Fluorescence,protein,20412,20412.0,0.0062,5
Promoters,genomics,50,50.0,0.0816,2
Promoters,genomics,100,100.0,0.0539,2
Promoters,genomics,150,150.0,0.044700000000000004,2
Promoters,genomics,250,250.0,0.0314,2
Promoters,genomics,392,392.0,0.02315,2
Promoters,genomics,500,500.0,0.01925,2
Promoters,genomics,785,785.0,0.0133,2
Promoters,genomics,1000,1000.0,0.0102,2
Promoters,genomics,1178,1178.0,0.0074,2
